"USGS_NHD_ComID","NWS_8_CHAR_lid","A_H_P","USGS","Hydrolog_Unit_Code","RFC","FORECAST_GROUP","NWS_HSA","T _Y_P","FI_P_ST","ST_AB","NW_S_ST","A_T_V","R_E_F","H_D_N","DRAINAGE_AREA_MI2","NWS LAT_dd_mm_ss","NWS_LONG_ ddd_mm_ss","USGS_LAT_DEG","USGS_LONG_DEG","C_A_C","COORD","ALTITUDE_FT","ALT _ACY","DATUM","GOES_IDENTIFR","N_1_0","N_1_1","NWS_LOC_NAME","USGS_LOC_NAME","Area_km2","area_below_1000km2","DRAINAGE_AREA_KM2"
20585814,"LCRA3","Y","09383400","15020001","CBRFC",NA,"FGZ","ST","04","AZ","A3","Y","N",NA,29.1,"34  1 00","109 27 24",34.0167143,-109.4573125,"T","NAD83","8283","20","NGVD29","DD7BD7DC","Y","Y","LITTLE COLORADO RIVER AT GREER AZ","LITTLE COLORADO RIVER AT GREER  AZ","75.368709","75.368709",75.368709
20585806,"NCNA3",NA,"09383500","15020001","CBRFC",NA,"FGZ","ST","04","AZ","A3","Y","N",NA,83.3,"34  1 49","109 11 09",34.03032717,-109.1864707,"T","NAD83","7421.7","20","NGVD29","DD7B7724","Y","Y","NUTRIOSO CREEK ABV NELSON RES NR SPRINGERVILLE AZ","NUTRIOSO CREEK ABV NELSON RES NR SPRINGERVILLE  AZ","215.746167","215.746167",215.74616699999999
21756096,"SLLA3",NA,"09390500","15020005","CBRFC",NA,"FGZ","ST","04","AZ","A3","Y","N",NA,68.6,"34 10 46","109 59 14",34.17948755,-109.9878858,"T","NAD83","6610","20","NGVD29","DD0E85CC","Y","Y","SHOW LOW CREEK NEAR LAKESIDE AZ","SHOW LOW CREEK NEAR LAKESIDE  AZ","177.673314","177.673314",177.67331399999998
21746325,"JCCA3",NA,"09399400","15020008","CBRFC",NA,"FGZ","ST","04","AZ","A3","Y","N",NA,295,"34 55 17","110 47 49",34.92141094,-110.7976357,"T","NAD83","5500","20","NAVD88","DDDB3278","Y","Y","JACKS CANYON CREEK NEAR WINSLOW AZ","JACKS CANYON CREEK NEAR WINSLOW  AZ","764.04705","764.04705",764.0470499999999
21327929,"BNMA3","Y","09447800","15040005","CBRFC",NA,"TWC","ST","04","AZ","A3","Y","Y","Y",302,"32 57 20","109 31 50",32.95561778,-109.5311876,"T","NAD83","3500","20","NGVD29","DD7E1502","Y","Y","BONITA CREEK NEAR MORENCI AZ.","BONITA CREEK NEAR MORENCI  AZ.","782.17698","782.17698",782.17698
21331123,"FCTA3",NA,"09460150","15040005","CBRFC",NA,"TWC","ST","04","AZ","A3","Y","Y",NA,4.02,"32 44 38","109 50 15",32.74395706,-109.8381364,"T","NAD83","5580","2","NGVD29","DD895628","Y","Y","FRYE CREEK NEAR THATCHER AZ","FRYE CREEK NEAR THATCHER  AZ","10.4117598","10.4117598",10.411759799999999
21320525,"CLDA3","Y","09469000","15040005","CBRFC",NA,"TWC",NA,"4","AZ","A3","Y","N",NA,1,"33 10 32","110 31 38",33.17561648,-110.5278775,"T","NAD83","0","20","NGVD29","DDF0F520","N","N","SAN CARLOS RESERVOIR AT COOLIDGE DAM AZ","SAN CARLOS RESERVOIR AT COOLIDGE DAM  AZ","2.58999","2.58999",2.58999
15932947,"BNGA3",NA,"09470700","15050202","CBRFC",NA,"TWC","ST","04","AZ","A3","Y","N",NA,8.74,"31 30 12.5","110  0 19",31.5034722,-110.0052778,"S","NAD83","4767.81","5","NAVD88","DD256478","Y","Y","BANNING CREEK NEAR BISBEE AZ","BANNING CREEK NEAR BISBEE  AZ","22.6365126","22.6365126",22.6365126
15934417,"GFHA3",NA,"09470800","15050202","CBRFC",NA,"TWC","ST","04","AZ","A3","Y","Y",NA,8.38,"31 28 22","110 20 50",31.47287518,-110.3478588,"T","NAD83","5400","20","NAVD88","DD9AA63C","Y","Y","GARDEN CANYON NEAR FORT HUACHUCA AZ.","GARDEN CANYON NEAR FORT HUACHUCA  AZ.","21.7041162","21.7041162",21.7041162
15932483,"BABA3","Y","09471400","15050202","CBRFC",NA,"TWC","ST","04","AZ","A3","Y","N",NA,306,"31 42 01","110 13 35",31.70027778,-110.2263889,"S","NAD83","3980","12","NAVD88","DDCE81A8","Y","Y","BABOCOMARI RIVER NEAR TOMBSTONE AZ.","BABOCOMARI RIVER NEAR TOMBSTONE  AZ.","792.53694","792.53694",792.53694
